Id;Default
1920;
1111; controller ready for$R$Nstart
83; controller ready for program$R$Nstart
63; controller ready for start
380; mode T1 selected
1590; mode T2 selected
773; stop by E.$R$NSTOP
1354; stop by E.STOP
593; stop by EMERGENCY$R$NSTOP
1725;%.2f
1;%d
437;%D
309;%s
1879;$'DIAGNOSTIC$' error
807;$'ERROR$' error
8;+   A1 / X 
13;+   A2 / Y 
15;+   A3 / Z 
17;+   A4 / A 
19;+   A5 / B 
21;+   A6 / C 
9;-   A1 / X 
14;-   A2 / Y 
16;-   A3 / Z 
18;-   A4 / A 
20;-   A5 / B 
22;-   A6 / C 
12;0-PTP axial 1-LIN cart 2-SPTP 3-SLIN
615;1234567890
32;A
624;a
38;A1
620;a1
137;A1Label
39;A2
71;a2
1501;A2A2
110;A2Label
40;A3
655;a3
41;A4
775;a4
42;A5
376;a5
43;A6
87;a6
2300;AAPPROACH
553;acceleration
1228;acknolage
1330;acknowledge
1517;Aes Velocityon
407;alarm stop
914;appl run
408;APPROACH
1652;AUTO EXT $R$Nactive
449;auto ext $R$Nactive
544;AUTO EXT  active
85;AUTO EXT  I/F active
1324;auto ext active
1978;Auto ext I/F active
1487;auto external  I/F active
274;Automat
50;Automatic
52;Automatic Continue
53;Automatic External
1564;Automatic External $R$Nactive
1326;Automatic External interface$R$Nactive
51;Automatic Interrupt
3;AutoStart
334;Axes Motion
1125;Axes Position
1989;axes software imits
1121;Axes SW limits
2274;Axes Velocity
33;B
6;BASE %d
34;C
187;communication
345;Communication
59;Connect
382;Continue
809;Coordinate System
1299;Diag Err
458;diagnosis
790;diagnostic
764;done
1990;DONE
61;drives not ready
943;Drives Off
893;drives off
76;enable AUTO
678;Enable Automat
1861;enable automat
57;Enable External
64;enable external
373;Enable T1
1534;enable T1
350;Enable T2
1180;enable T2
741;erro
160;ERROR
1188;error
676;Error
28;Error %d
664;Error err
307;error ID
778;Error Number
1023;errorID
560;EXIT
27;EXT
1453;ext I/F active
1182;EXT mode
56;External
2163;EXTERNAL mode
1614;FOLD
77;General settings
490;GO
931;gO lINEAR
692;Go To %s
